qid,qlabel,base_gdp4,sim_gdp4,base_pcxfe4,sim_pcxfe4,base_lur,sim_lur,base_rff,sim_rff,base_hggdp,sim_hggdp,base_picxfe,sim_picxfe,base_xgdp,sim_xgdp,base_pcxfe,sim_pcxfe
8155,2038Q3,1.80096661057998,1.80096661057998,2.00000061065515,2.00000061065515,4.1000006635799,4.1000006635799,2.5002017996697,2.5002017996697,1.7847968848264,1.7847968848264,1.98026326514,1.98026326514,29339.3585372,29339.3585372,161.895767553,161.895767553
8156,2038Q4,1.80271080020777,1.80271080020777,2.00000057127787,2.00000057127787,4.098586084326,4.098586084326,2.5002224076976,2.5002224076976,1.7919495399155,1.7919495399155,1.980263238283,1.980263238283,29471.090012162,29471.090012162,162.69924537626,162.69924537626
8157,2039Q1,1.80495471264124,1.80495471264124,2.0000005237095,2.0000005237095,4.0973563890825,4.0973563890825,2.5001890465429,2.5001890465429,1.7938024039992,1.7938024039992,1.9802631619833,1.9802631619833,29603.550079438,29603.550079438,163.50671077481,163.50671077481
8158,2039Q2,1.80699985229664,1.80699985229664,2.00000047018474,2.00000047018474,4.0971148654316,4.0971148654316,2.5001606895615,2.5001606895615,1.7929218078884,1.7929218078884,1.9802630971285,1.9802630971285,29736.540033837,29736.540033837,164.31818354311,164.31818354311
8159,2039Q3,1.80887738104805,1.80887738104805,2.00000041333384,2.00000041333384,4.0978727074241,4.0978727074241,2.5001365861274,2.5001365861274,1.7921736331047,1.7921736331047,1.980263042002,1.980263042002,29870.071557524,29870.071557524,165.13368357323,165.13368357323
8160,2039Q4,1.80877263502306,1.80877263502306,2.00000035133217,2.00000035133217,4.0992734381315,4.0992734381315,2.5001160982084,2.5001160982084,1.7915379998505,1.7915379998505,1.9802629951444,1.9802629951444,30004.155023545,30004.155023545,165.9532308554,165.9532308554
8161,2040Q1,1.80805885802788,1.80888451698626,2.00000029863228,2.00000029863221,4.100891937153,4.10056801977541,2.5000986834772,3.50020417279646,1.7909980111213,1.79424198068376,1.9802629553155,1.9802629553155,30138.79968894,30139.0441133032,166.77684547859,166.77684547859
8162,2040Q2,1.80745246491829,1.65176883983036,2.00000025384155,1.9973520763368,4.1023960203393,4.18802854193617,2.5000838809559,3.32676646779174,1.7905393052729,1.17514847119692,1.980262921461,1.96987777685173,30274.01385966,30227.7189361596,167.60454763108,167.600196193907
8163,2040Q3,1.80693733133708,1.55855458841989,2.00000021576785,1.99196660926788,4.1035994267314,4.24328515514529,2.5000712988126,3.16492979032228,1.7901496756373,1.42520700906617,1.9802628926846,1.95914245742567,30409.805031394,30335.6129283481,168.436357601,168.423091410663
8164,2040Q4,1.80649975267979,1.42444057169395,2.0000001834023,1.98561528596262,4.1044479485178,4.3024232560793,2.5000606039908,3.00705130616335,1.7898187472731,1.26296550091063,1.9802628682245,1.95535310750955,30546.180009839,30431.5463808943,169.27229577687,169.248423574814
8165,2041Q1,1.80612808099241,1.37432533875732,2.00000015588988,1.97774221513427,4.1049763125977,4.3276495209959,2.5000515133923,2.86492311401497,1.7895377021411,1.59654754706957,1.9802628474337,1.94938262101939,30683.145013396,30553.2526334116,170.11238264815,170.075261556689
8166,2041Q2,1.80581241638218,1.482787452788,2.00000013250736,1.9718132169638,4.1052618891952,4.35169704150829,2.5000437863835,2.73702235566703,1.78929904556,1.60288648984586,1.9802628297613,1.94662105276384,30820.705760875,30675.931759809,170.95663880579,170.904959014116
8167,2041Q3,1.80554434473081,1.55425466103274,2.00000011263006,1.96819088673212,4.1053889795072,4.36368851065743,2.5000372184262,2.62569710288058,1.7890964076599,1.70679980790145,1.9802628147398,1.94493306188726,30958.867546382,30807.1056062398,171.80508494273,171.73797934696
8168,2041Q4,1.80531671474919,1.67540855763615,2.00000009573487,1.96541356090816,4.1054278166251,4.37056615179931,2.5000316356623,2.5299324116573,1.7889243746296,1.73987978217628,1.9802628019716,1.94445808770772,31097.635303274,30941.3991131808,172.65774185446,172.574855043376
8169,2042Q1,1.80512344851933,1.72502139334425,2.00000008137386,1.96416610732282,4.1054265685447,4.37072366713679,2.5000268903131,2.44967084754519,1.7887783452736,1.79168120219949,1.9802627911186,1.94448895689544,31237.013658776,31080.3027777005,173.51463043954,173.415822201126
8170,2042Q2,1.80495938041818,1.78338005693157,2.00000006916621,1.96374646858062,4.1054121445444,4.36535270301135,2.5000228567663,2.38425200018237,1.7886544091091,1.83229683269553,1.9802627818935,1.94497482891781,31377.006980617,31223.0002090914,174.37577170015,174.261099111385
8171,2042Q3,1.80482012025114,1.82411957376896,2.00000005879071,1.96395259295159,4.1053954252946,4.35520174179458,2.5000194282515,2.3328131229543,1.7885492427218,1.86687060080078,1.9802627740522,1.94574167934081,31517.619416861,31369.0640497149,175.24118674259,175.110831845427
8172,2042Q4,1.80470193689908,1.86340521009656,2.00000004997216,1.96452150334314,4.1053775566025,4.34109957993278,2.5000165140139,2.29426676365166,1.7884600216696,1.89417744710458,1.9802627673871,1.94668989135816,31658.854929922,31517.9627563326,176.11089677783,175.965125180067
8173,2043Q1,1.80460165940552,1.89475116035411,2.00000004248009,1.96534902378935,4.1053553111165,4.32388690667131,2.5000140369118,2.26739560618971,1.7883843456296,1.91475240019418,1.9802627617218,1.94773525108485,31800.717325611,31669.1971752225,176.98492312204,176.824048369852
8174,2043Q2,1.80451659295857,1.91940383911569,2.00000003610994,1.96632922768003,4.1053247162884,4.30437603127559,2.500011931375,2.25089451985059,1.7883201747793,1.92906215846875,1.9802627569062,1.94882005354373,31943.210277956,31822.2956737918,177.86328719712,177.687646035688
8175,2043Q3,1.80444444740884,1.93745451102825,2.00000003069383,1.96739060069566,4.1052829549227,4.28333133171104,2.5000101416687,2.24341875222245,1.7882657756289,1.93770725395169,1.9802627528129,1.949905279227,32086.337350384,31976.8253962134,178.74601053123,178.555945891954
8176,2043Q4,1.80438327656347,1.94949752203524,2.00000002608778,1.96848057500321,4.1052289554007,4.2614420981543,2.5000086204186,2.24362616759501,1.7882196751345,1.94143112724826,1.9802627493338,1.95096564452958,32230.102013829,32132.4046592633,179.63311475933,179.428964488016
8177,2044Q1,1.80433142656469,1.95617430101027,2.0000000221766,1.96956436043796,4.1051631960215,4.23931834203475,2.5000073273559,2.2502112183861,1.7881806215378,1.94094795980095,1.9802627463765,1.9519866812023,32374.50766219,32288.7018717005,180.52462162373,180.306711807229
8178,2044Q2,1.8042874920112,1.95819112721756,2.00000001884459,1.97062003481285,4.1050871749392,4.21748436327379,2.5000062282527,2.26193226919266,1.788147551234,1.93697460232076,1.9802627438627,1.95296116730783,32519.557625548,32445.4370441529,181.42055297458,181.189194387855
8179,2044Q3,1.80425027869089,1.95627459683154,2.00000001602016,1.97163511663137,4.1050028508883,4.1963788531549,2.5000052940149,2.27763203414893,1.7881195604588,1.93018829592098,1.9802627417262,1.95388711934168,32665.25518145,32602.3799083127,182.32093077049,182.076417623993
8180,2044Q4,1.80421877185648,1.95112517532801,2.00000001361853,1.97260393022369,4.1049122124198,4.17635607641773,2.5000044999126,2.29625241813975,1.7880958813329,1.92122814684071,1.9802627399099,1.95476595228157,32811.603564551,32759.3480960085,183.22577707898,182.968387293467
8181,2045Q1,1.80419210931249,1.94340861524069,2.00000001157481,1.97352541723235,4.1048170214188,4.15769086481681,2.5000038249257,2.31684383686845,1.7880758614559,1.91067128706863,1.9802627383661,1.95560131027197,32958.60597486,32916.2032856245,184.1351140771,183.86511059372
8182,2045Q2,1.80416955850307,1.93373758840032,2.00000000983813,1.97440159760389,4.1047187099301,4.14058533711229,2.5000032511867,2.33856976858691,1.7880589465804,1.89902615335009,1.9802627370539,1.9563980460634,33106.265584788,33072.8466559964,185.04896405192,184.766596736534
8183,2045Q3,1.80415049704454,1.92266692819354,2.000000008359,1.97523635615939,4.1046183815141,4.12517530778555,2.5000027635087,2.3607077743466,1.7880446658466,1.88674336126493,1.9802627359386,1.95716149067088,33254.585545167,33229.2150846139,185.96734940114,185.672857220895
8184,2045Q4,1.80413439619742,1.91068766687597,2.00000000710621,1.97603457447202,4.1045168667672,4.11153763188537,2.5000023489823,2.38264750526457,1.7880326192866,1.87421224464447,1.9802627349905,1.95789696806741,33403.568990403,33385.2769198279,186.89029263358,186.583905886739
